 5004;AGROPAULO AGROINDUSTRIAL S.A.                   ;NENHUM              ;NE002;05373212000642;FAZ LIMOEIRO S/N Z.RURAL-MAXARANGUAPE   ;ZONA RURAL          ;59570000;CEARA-MIRIM         ;RN;AGROPAULO                                       ;08540058889;
 4809;AGROPAULO AGROINDUSTRIAL S/A                    ;NENHUM              ;NE002;05373212000995;ROD.CE 123 KM 40 -FAZENDA LAGOA VERMELHA;ZONA RURAL          ;62823000;JAGUARUANA          ;CE;AGROPAULO - UNIDADE JAGUARUANA                  ;08532168889;
 3535;AGROPECUARIA JAYORO LTDA                        ;NENHUM              ;AM001;05827977000109;ROD.BR 174 KM 120 S/N                   ;ZONA RURAL          ;69735000;PRESID.FIGUEIREDO   ;AM;JAYORO                                          ;09221211200;
 4743;AGROPECUARIA NOVO MILENIO LTDA                  ;COOPERB             ;MT003;04165520000105;RODOVIA MT 170 - KM 60 ANEXO 01         ;PARQUE INDUSTRIAL   ;78278000;LAMBARI D OESTE     ;MT;NOVO MILENIO - UNIDADE LAMBARI                  ;06532411021;
 4748;AGROPECUARIA NOVO MILENIO LTDA                  ;COOPERB             ;MT003;04165520000296;ROD.TRANSEFONICA KM 06-ANEXO 1          ;VILA GUARANI        ;78280000;MIRASSOL D OESTE    ;MT;NOVO MILENIO - UNIDADE MIRASSOL                 ;06532411021;
 2668;AGROPEU AGRO INDUSTRIAL DE POMPEU S/A           ;NENHUM              ;MG002;16617789000164;ROD. MG 060 KM 82                       ;FAZENDA BARROCAO    ;35640000;POMPEU              ;MG;AGROPEU                                         ;03735234800;
 5099;ALAMBIQUES NOBRES LTDA - EPP                    ;NENHUM              ;MG001;01492631000138;RUA DESEMBARGADOR REIS ALVES, 672       ;INDUSTRIAS          ;30610270;BELO HORIZONTE      ;MG;ALAMBIQUES NOBRES LTDA - EPP                    ;03133834390;
 2198;ALCANA DESTILARIA DE ALCOOL NANUQUE S/A         ;INFINITY            ;MG001;18614602000102;ESTRADA NANUQUE / PEDRO CANARIO KM 09   ;ZONA RURAL          ;39860000;NANUQUE             ;MG;ALCANA                                          ;03336219200;
 2118;ALCOESTE DESTILARIA FERNANDOPOLIS S/A           ;NENHUM              ;SP005;43545284000104;ROD. EUCLIDES DA CUNHA KM 562           ;FAZ. SANTA ALICE    ;15600000;FERNANDOPOLIS       ;SP;ALCOESTE                                        ;01734423955;
 3430;ALCON - CIA DE ALCOOL CONCEICAO DA BARRA        ;NENHUM              ;ES001;30974737000176;ROD. BR 101 - KM 35,5                   ;SAYONARA            ;29960000;CONCEICAO DA BARRA  ;ES;ALCON                                           ;02737624222;
 2090;ALCOOL AZUL S/A - ALCOAZUL                      ;ARALCO              ;SP005;44776409000170;RODOVIA CARAM RESECK KM 16              ;CORREGO AZUL        ;16001970;ARACATUBA           ;SP;ALCOAZUL                                        ;01836072900;
 5002;ALCOOL QUIMICA CANABRAVA S/A                    ;NENHUM              ;RJ001;05627254000158;ROD RJ 224 - SAO DIOGO S/N              ;TRAVESSAO           ;28175000;CAMPO DOS GOYTACAZES;RJ;CANABRAVA                                       ;02227892449;
 2196;ALCOOLVALE S/A ALCOOL E ACUCAR                  ;UNIALCO             ;MS001;15444904000183;FAZENDA SANTA INEZ                      ;ZONA RURAL          ;79570000;APARECIDA DO TABOADO;MS;ALCOOLVALE                                      ;06735651311;
 4864;ALDREY MALTA                                    ;NENHUM              ;MG001;96372397668   ;RUA PEDRO GUERRA, 14                    ;BOM PASTOR          ;35500197;DIVINOPOLIS         ;MG;ALDREY MALTA                                    ;03732144250;
 5035;ALLTECH DO BRASIL AGROINDUSTRIAL LTDA           ;NENHUM              ;PR004;72058241000364;EST MARISA KM 03 S/N SALA 1 A IND 75    ;ESTRADA MARISA      ;86945000;SAO PEDRO DO IVAI   ;PR;ALLTECH DO BRASIL AGROINDUSTRIAL LTDA           ;04334511175;
   86;ALVORADA DO BEBEDOURO S/A.-ACUCAR E ALCOOL      ;ALVORADA BEBEDOURO  ;MG001;21706155000118;RODOVIA BR 491 - KM 64,5                ;ZONA RURAL          ;37810000;GUARANESIA          ;MG;ALVORADA DO BEBEDOURO                           ;03535551822;
 5167;ANA PAULA LOPES PEREIRA                         ;NENHUM              ;MG001;06338345642   ;RUA SANTA LUZIA, 40                     ;LOURDES             ;33200000;VESPASIANO          ;MG;ANA PAULA LOPES PEREIRA                         ;00000000000;
   85;ANICUNS S/A ALCOOL DERIVADOS                    ;ANTONIO FARIAS      ;GO002;02783009000141;ROD. ANICUNS/AMERICANO DO BRASIL KM 06  ;ZONA RURAL          ;76170000;ANICUNS             ;GO;ANICUNS                                         ;06435645518;
 5085;ANTONIO AUGUSTO MONTEIRO BARACHO - EPP          ;NENHUM              ;NE002;01819624000106;FAZ ENGENHO TRIUNFO, S/N                ;ZONA RURAL          ;58397000;AREIA               ;PB;CACHACA TRIUNFO                                 ;08399817728;
 1345;ANTONIO FERNANDO TIROLLI E CIA LTDA             ;TIROLLI             ;SP001;53800207000107;RUA BAIRRO AGUA ESPANHOL                ;AGUA ESPALHOLADA    ;19970000;PALMITAL            ;SP;SAO JOAQUIM                                     ;01833515888;
 1667;ARALCO S/A - INDUSTRIA E COMERCIO               ;ARALCO              ;SP001;51086080000180;ROD. SPV 061 KM 45,6                    ;GENEROSO            ;16130970;STO.ANT.DO ARACANGUA;SP;ARALCO                                          ;01836399200;
  102;ARAPORA BIOENERGIA S/A                          ;NENHUM              ;MG002;19818301000155;ROD. BR.153 - KM 03                     ;FAZENDA EMBOABA     ;38435000;ARAPORA             ;MG;ALVORADA                                        ;03432849800;
 4751;ATENA - TECNOLOGIAS EM ENERGIA NATURAL LTDA     ;DIANA               ;SP005;07458537000149;ROD.HOMERO SEVERO LINS KM 535+6KM S/N   ;LARANJA DOCE-FAZ.BAR;19500000;MARTINOPOLIS        ;SP;ATENA                                           ;01832759060;
 4708;BALDIN BIOENERGIA S/A                           ;NENHUM              ;SP007;54844360000107;ROD. ANHANGUERA - KM 209                ;PIRES               ;13630970;PIRASSUNUNGA        ;SP;BALDIN BIOENERGIA                               ;01935655900;
 4800;BAMBUI BIOENERGIA S/A                           ;NENHUM              ;MG002;07930999000206;RODOVIA MG 827 KM 00010                 ;BAMBUI/MEDEIROS     ;38900000;BAMBUI              ;MG;BAMBUI                                          ;03734315700;
 4703;BERTOLO AGROINDUSTRIAL LTDA                     ;BERTOLO             ;SP004;52317435000168;FAZ QUEIROZ S/N SALA A                  ;QUEIROZES           ;15820000;PIRANGI             ;SP;BERTOLO AGROINDUSTRIAL                          ;01733869000;
 4911;BIOENERGETICA AROEIRA S/A                       ;NENHUM              ;MG002;08355201000113;RODOVIA BR 452 KM 77 S/N                ;ZONA RURAL          ;38480000;TUPACIGUARA         ;MG;AROEIRA                                         ;03432810500;
