101301;USINA AC STA TEREZINHA LTDA             ;;G1 ;75717355000367;ROD PR 323 KM 258, SN                   ;ZONA RURAL               ;87430000;TAPEJARA                 ;PR ;;
101311;USINA AC STA TEREZINHA LTDA             ;;G1 ;75717355000286;EST LOTE 255, SN                        ;ZONA RURAL               ;87660000;PARANACITY               ;PR ;;
101312;USINA AC STA TEREZINHA LTDA             ;;G1 ;75717355000448;ROD PR 082 KM 08, SN                    ;ZONA RURAL               ;87510000;IVATE                    ;PR ;;
101736;BUCKMAN LABORATORIOS LTDA               ;;G4 ;44589885000181;ROD ANHANGUERA,  KM 107 5               ;MATAO                    ;13170023;SUMARE                   ;SP ;;
101873;RAIZEN TARUMA SA                        ;;G4 ;62092739000128;FAZ NOVA AMERICA, S N                   ;AGUA DA ALDEIA           ;19820000;TARUMA                   ;SP ;;
102068;USINA ALTO ALEGRE SA ACUCAR E ALCOOL    ;;G4 ;48295562000136;RUA JOSE LEITE, 40                      ;JARDIM BONGIOVANI        ;19050910;PRESIDENTE PRUDENTE      ;SP ;;
102069;USINA ALTO ALEGRE SA ACUCAR E ALCOOL    ;;G1 ;48295562001450;FAZ JUNQUEIRA,  SN                      ;DISTR ALTO ALEGRE        ;86690000;COLORADO                 ;PR ;;
102070;USINA ALTO ALEGRE SA ACUCAR E ALCOOL    ;;G4 ;48295562001108;FAZ ALTA FLORESTA, SN                   ;DISTR AMELIOPOLIS        ;19140000;PRESIDENTE PRUDENTE      ;SP ;;
102159;MERCOQUIMICA MANIP COM E REPRES LTDA    ;;G4 ;69160018000157;RUA RIBEIRAO PRETO, 2758                ;VILA BRASIL              ;14075080;RIBEIRAO PRETO           ;SP ;;
102285;DELLA COLETTA US  ACUCAR E ALCOOL LTDA  ;;G4 ;44691236000197;FAZ MONTE ALEGRE, S N                   ;BAIRRO SAPE              ;17250000;BARIRI                   ;SP ;;
102294;ANDRADE ACUCAR E ALCOOL SA              ;;G4 ;54929021000115;FAZENDA PIRATININGA, SN                 ;ZONA RURAL               ;14750000;PITANGUEIRAS             ;SP ;;
102581;DACALDA ACUCAR E ALCOOL LTDA            ;;G1 ;75444430000100;FAZ SANTA MARIA, SN                     ;DOURADO                  ;86400000;JACAREZINHO              ;PR ;;
102592;BRANCO PERES ACUCAR E ALCOOL SA         ;;G4 ;43619832001760;ROD DR PLACIDO ROCHA, KM 19 6           ;LAGOA SECA               ;17800000;ADAMANTINA               ;SP ;;
102597;DESTILARIA ALCIDIA S A                  ;;G4 ;46448270000160;FAZ ALCIDIA, S N                        ;ZONA RURAL               ;19280001;TEODORO SAMPAIO          ;SP ;;
102605;IRMAOS BALDIM CIA LTDA                  ;;G4 ;54844360000107;ROD  ANHANGUERA,  KM 208                ;TABOAO                   ;13630970;PIRASSUNUNGA             ;SP ;;
102607;TEREOS ACUCAR E ENERGIA BRASIL S A      ;;G4 ;47080619001199;ROD ASSIS CHATEAUBRIAND, KM 155         ;ZONA RURAL               ;15400970;OLIMPIA                  ;SP ;;
102655;COSAN SA IND COM                        ;;G4 ;50746577003726;RUA DO ENGENHO, SN                      ;CENTRO                   ;13370000;RAFARD                   ;SP ;;
102660;DESTILARIA AGUA BONITA LTDA             ;;G4 ;50227255000160;ROD SP 333 KM 26 7, SN                  ;AGUA BONITA              ;19820000;TARUMA                   ;SP ;;
102735;RAIZEN TARUMA SA                        ;;G4 ;62092739003739;FAZ SANTA AMELIA, S N                   ;ZONA RURAL               ;19840000;MARACAI                  ;SP ;;
102842;ANTONIO RUETTE AGROINDUSTRIAL LTDA      ;;G4 ;51843514000140;ROD ANTONIO CELIDONIO RUETTE KM 03, SN  ;FAZ CACHOEIRA            ;15825000;PARAISO                  ;SP ;;
102853;SANTA CANDIDA ACUCAR E ALCOOL LTDA      ;;G4 ;45461753000132;FAZ SANTA CANDIDA, S N                  ;PEDRO ALEXANDRINO        ;17240000;BOCAINA                  ;SP ;;
102859;USINA ITAIQUARA DE ACUCAR E ALCOOL SA   ;;G1 ;72111321002037;FAZ SOLEDADE, SN                        ;ZONA RURAL               ;37900970;PASSOS                   ;MG ;;
102939;USINA ALTO ALEGRE SA ACUCAR E ALCOOL    ;;G1 ;48295562001884;COL  ZACARIAS DE GOIS, SN               ;COL. ZACARIAS DE GOIS    ;86650000;SANTO INACIO             ;PR ;;
102945;ID COMERCIO E REPRESENTACOES LTDA       ;;G4 ;02726095000312;RUA FRANCISCO MENDES, 314               ;SOCORRO                  ;4766050;SAO PAULO                ;SP ;;
102968;PARAPUA AGROINDUSTRIAL SA               ;;G4 ;07969961000239;FAZ SAO FRANCISCO, S/N                  ;MONTE ALEGRE             ;17730000;PARAPUA                  ;SP ;;
